share_id,participant_id,team_code,display_name,matches_played,total_points,total_shares,points_per_share
1,1,ENG,England,1,7.3,23,0.3173913043478261
2,1,ENG,England,1,7.3,23,0.3173913043478261
3,1,ENG,England,1,7.3,23,0.3173913043478261
4,1,AUS,Australia,1,6,24,0.25
5,1,AUS,Australia,1,6,24,0.25
6,1,SCO,Scotland,1,2.7,4,0.675
7,1,IRE,Ireland,1,11,7,1.5714285714285714
8,1,IND,India,1,8,20,0.4
9,1,NZL,New Zealand,1,6.3,14,0.45
10,1,RSA,South Africa,1,6.8,17,0.39999999999999997
11,2,AUS,Australia,1,6,24,0.25
12,2,IND,India,1,8,20,0.4
13,2,AUS,Australia,1,6,24,0.25
14,2,ENG,England,1,7.3,23,0.3173913043478261
15,2,NZL,New Zealand,1,6.3,14,0.45
16,2,ENG,England,1,7.3,23,0.3173913043478261
17,2,AUS,Australia,1,6,24,0.25
18,2,LKA,Sri Lanka,1,9.3,8,1.1625
19,2,NZL,New Zealand,1,6.3,14,0.45
20,2,RSA,South Africa,1,6.8,17,0.39999999999999997
21,3,IND,India,1,8,20,0.4
22,3,RSA,South Africa,1,6.8,17,0.39999999999999997
23,3,AUS,Australia,1,6,24,0.25
24,3,AUS,Australia,1,6,24,0.25
25,3,ENG,England,1,7.3,23,0.3173913043478261
26,3,RSA,South Africa,1,6.8,17,0.39999999999999997
27,3,PAK,Pakistan,1,0.4,17,0.023529411764705882
28,3,IND,India,1,8,20,0.4
29,3,ENG,England,1,7.3,23,0.3173913043478261
30,3,LKA,Sri Lanka,1,9.3,8,1.1625
31,4,ENG,England,1,7.3,23,0.3173913043478261
32,4,WIN,West Indies,1,2.3,9,0.25555555555555554
33,4,IND,India,1,8,20,0.4
34,4,AUS,Australia,1,6,24,0.25
35,4,IND,India,1,8,20,0.4
36,4,PAK,Pakistan,1,0.4,17,0.023529411764705882
37,4,WIN,West Indies,1,2.3,9,0.25555555555555554
38,4,AUS,Australia,1,6,24,0.25
39,4,RSA,South Africa,1,6.8,17,0.39999999999999997
40,4,PAK,Pakistan,1,0.4,17,0.023529411764705882
41,5,IND,India,1,8,20,0.4
42,5,ENG,England,1,7.3,23,0.3173913043478261
43,5,PAK,Pakistan,1,0.4,17,0.023529411764705882
44,5,IND,India,1,8,20,0.4
45,5,IND,India,1,8,20,0.4
46,5,BAN,Bangladesh,1,4.3,3,1.4333333333333333
47,5,RSA,South Africa,1,6.8,17,0.39999999999999997
48,5,ENG,England,1,7.3,23,0.3173913043478261
49,5,RSA,South Africa,1,6.8,17,0.39999999999999997
50,5,LKA,Sri Lanka,1,9.3,8,1.1625
51,6,IND,India,1,8,20,0.4
52,6,AFG,Afghanistan,1,4.2,5,0.8400000000000001
53,6,WIN,West Indies,1,2.3,9,0.25555555555555554
54,6,AUS,Australia,1,6,24,0.25
55,6,IND,India,1,8,20,0.4
56,6,ENG,England,1,7.3,23,0.3173913043478261
57,6,RSA,South Africa,1,6.8,17,0.39999999999999997
58,6,AUS,Australia,1,6,24,0.25
59,6,AUS,Australia,1,6,24,0.25
60,6,IND,India,1,8,20,0.4
61,7,ENG,England,1,7.3,23,0.3173913043478261
62,7,ENG,England,1,7.3,23,0.3173913043478261
63,7,AFG,Afghanistan,1,4.2,5,0.8400000000000001
64,7,PAK,Pakistan,1,0.4,17,0.023529411764705882
65,7,WIN,West Indies,1,2.3,9,0.25555555555555554
66,7,ENG,England,1,7.3,23,0.3173913043478261
67,7,AFG,Afghanistan,1,4.2,5,0.8400000000000001
68,7,WIN,West Indies,1,2.3,9,0.25555555555555554
69,7,PAK,Pakistan,1,0.4,17,0.023529411764705882
70,7,LKA,Sri Lanka,1,9.3,8,1.1625
71,8,SCO,Scotland,1,2.7,4,0.675
72,8,NED,Netherlands,1,5.4,3,1.8
73,8,NED,Netherlands,1,5.4,3,1.8
74,8,SCO,Scotland,1,2.7,4,0.675
75,8,UAE,United Arab Emirates,1,3.2,1,3.2
76,8,IRE,Ireland,1,11,7,1.5714285714285714
77,8,IRE,Ireland,1,11,7,1.5714285714285714
78,8,IRE,Ireland,1,11,7,1.5714285714285714
79,8,"NAM",Namibia,1,2.7,3,0.9
80,8,NED,Netherlands,1,5.4,3,1.8
81,9,LKA,Sri Lanka,1,9.3,8,1.1625
82,9,AUS,Australia,1,6,24,0.25
83,9,AUS,Australia,1,6,24,0.25
84,9,AUS,Australia,1,6,24,0.25
85,9,IND,India,1,8,20,0.4
86,9,RSA,South Africa,1,6.8,17,0.39999999999999997
87,9,IND,India,1,8,20,0.4
88,9,ENG,England,1,7.3,23,0.3173913043478261
89,9,NZL,New Zealand,1,6.3,14,0.45
