team,event,points
Ireland,lose in match vs Zimbabwe in first_round,0
Sri Lanka,lose in match vs Namibia in first_round,0
Sri Lanka,win in match vs United Arab Emirates in first_round,2
Sri Lanka,"bowled_out_opponent (vs United Arab Emirates, in first_round)",0.3
Namibia,win in match vs Sri Lanka in first_round,2
Namibia,lose in match vs Netherlands in first_round,0
Namibia,"bowled_out_opponent (vs Sri Lanka, in first_round)",0.3
Namibia,"close_loss (vs Netherlands, in first_round)",0.2
Netherlands,win in match vs United Arab Emirates in first_round,2
Netherlands,win in match vs Namibia in first_round,2
Scotland,win in match vs West Indies in first_round,2
Scotland,"bowled_out_opponent (vs West Indies, in first_round)",0.3
United Arab Emirates,lose in match vs Netherlands in first_round,0
United Arab Emirates,lose in match vs Sri Lanka in first_round,0
United Arab Emirates,hattrick (Karthik Meiyappan vs Sri Lanka),0
United Arab Emirates,"close_loss (vs Netherlands, in first_round)",0.2
West Indies,lose in match vs Scotland in first_round,0
Zimbabwe,win in match vs Ireland in first_round,2
