team,display_name,matches_played,total_points,total_shares,points_per_share
ZIM,Zimbabwe,1,11.4,2,5.7
NED,Netherlands,1,9.7,3,3.233333333333333
UAE,United Arab Emirates,1,3.2,1,3.2
BAN,Bangladesh,1,8.5,3,2.8333333333333335
IRE,Ireland,1,12,7,1.7142857142857142
LKA,Sri Lanka,1,13.5,8,1.6875
NZL,New Zealand,1,17.3,14,1.2357142857142858
AFG,Afghanistan,1,4.6,5,0.9199999999999999
"NAM",Namibia,1,2.7,3,0.9
ENG,England,1,17.3,23,0.7521739130434782
SCO,Scotland,1,2.7,4,0.675
RSA,South Africa,1,10.8,17,0.6352941176470589
IND,India,1,12.2,20,0.61
AUS,Australia,1,14.3,24,0.5958333333333333
PAK,Pakistan,1,8.4,17,0.49411764705882355
WIN,West Indies,1,2.3,9,0.25555555555555554
