id,match_number,team,runs,wickets,overs,result,dl_par,dl_overs
1,1,LKA,108,10,19,lose,,
2,1,NAM,163,7,20,win,,
3,2,UAE,111,8,20,lose,,
4,2,NED,112,7,19.5,win,,
5,3,WIN,118,10,18.3,lose,,
6,3,SCO,160,5,20,win,,
7,4,ZIM,174,7,20,win,,
8,4,IRE,143,9,20,lose,,
9,5,NAM,121,6,20,lose,,
10,5,NED,122,5,19.3,win,,
11,6,LKA,152,8,20,win,,
12,6,UAE,73,10,17.1,lose,,
13,7,SCO,176,5,20,lose,,
14,7,IRE,180,4,19,win,,
15,8,WIN,153,7,20,win,,
16,8,ZIM,122,10,18.2,lose,,
17,9,NED,146,9,20,lose,,
18,9,LKA,162,6,20,win,,
19,10,NAM,141,8,20,lose,,
20,10,UAE,148,3,20,win,,
21,11,IRE,150,1,17.3,win,,
22,11,WIN,146,5,20,lose,,
23,12,SCO,132,6,20,lose,,
24,12,ZIM,133,5,18.3,win,,
25,13,AUS,111,10,17.1,lose,,
26,13,NZL,200,3,20,win,,
27,14,ENG,113,5,18.1,win,,
28,14,AFG,112,10,19.4,lose,,
29,15,LKA,133,1,15,win,,
30,15,IRE,128,8,20,lose,,
31,16,IND,160,6,20,win,,
32,16,PAK,159,8,20,lose,,
33,17,BAN,144,8,20,win,,
34,17,NED,135,10,20,lose,,
35,18,RSA,51,0,3,no_result,,
36,18,ZIM,79,5,9,no_result,,
37,19,AUS,158,3,16.3,win,,
38,19,LKA,157,6,20,lose,,
39,20,ENG,105,5,14.3,lose,110,
40,20,IRE,157,10,19.2,win,,
41,21,AFG,0,0,0,no_result,,
42,21,NZL,0,0,0,no_result,,
43,22,BAN,101,10,16.3,lose,,
44,22,RSA,205,5,20,win,,
45,23,IND,179,2,20,win,,
46,23,NED,123,9,20,lose,,
47,24,PAK,129,8,20,lose,,
48,24,ZIM,130,8,20,win,,
49,25,AFG,0,0,0,no_result,,
50,25,IRE,0,0,0,no_result,,
51,26,AUS,0,0,0,no_result,,
52,26,ENG,0,0,0,no_result,,
53,27,NZL,167,7,20,win,,
54,27,LKA,102,10,19.2,lose,,
55,28,BAN,150,7,20,win,,
56,28,ZIM,147,8,20,lose,,
57,29,PAK,95,4,13.5,win,,
58,29,NED,91,9,20,lose,,
59,30,IND,133,9,20,lose,,
60,30,RSA,137,5,19.4,win,,
61,31,AUS,179,5,20,win,,
62,31,IRE,137,10,18.1,lose,,
63,32,AFG,144,8,20,lose,,
64,32,LKA,148,4,18.3,win,,
65,33,ENG,179,6,20,win,,
66,33,NZL,159,6,20,lose,,
67,34,NED,120,5,18,win,,
68,34,ZIM,117,10,19.2,lose,,
69,35,BAN,145,6,16,lose,151,16
70,35,IND,184,6,20,win,,
71,36,PAK,185,9,20,win,,
72,36,RSA,108,9,14,lose,142,14
73,37,NZL,,,,,,
74,37,IRE,,,,,,
75,38,AFG,,,,,,
76,38,AUS,,,,,,
77,39,ENG,,,,,,
78,39,LKA,,,,,,
79,40,RSA,,,,,,
80,40,NED,,,,,,
81,41,BAN,,,,,,
82,41,PAK,,,,,,
83,42,IND,,,,,,
84,42,ZIM,,,,,,
85,43,,,,,,,
86,43,,,,,,,
87,44,,,,,,,
88,44,,,,,,,
89,45,,,,,,,
90,45,,,,,,,
