id,display_name,odds_b365_14,odds_coral_14,odds_ub_14,odds_se_14,odds_bf_14,odds_bs_14,odds_io_14,odds_sn_14,odds_si_14
1,Namibia,1000/1,500,1000,750,1000,500,500,500,1000
2,Sri Lanka,20/1,20,20,22,25,20,20,20,20
3,Netherlands,2000/1,500,1000,750,1000,1000,1000,1000,1000
4,United Arab Emirates,2000/1,1000,1500,750,1000,1000,1000,1000,1000
5,Scotland,1000/1,500,1000,750,1000,1000,500,500,1000
6,West Indies,16/1,20,25,50,16,20,18,18,25
7,Ireland,300/1,250,300,500,500,300,250,250,500
8,Zimbabwe,300/1,250,300,750,300,300,300,300,500
9,Afghanistan,50/1,66,33,100,50,66,50,50,50
10,Australia,11/4,11/4,13/5,13/5,3,3,11/4,11/4,11/4
11,England,7/2,3,3,3,11/4,3,57/17,57/17,3
12,New Zealand,8/1,7,9,10,8,8,8,8,17/2
13,Bangladesh,66/1,100,100,500,100,66,80,80,66
14,India,10/3,7/2,15/4,7/2,4,7/2,7/2,7/2,13/4
15,Pakistan,15/2,13/2,9,8,7,8,8,8,15/2
16,South Africa,8/1,7,15/2,7,8,8,15/2,15/2,7
