id,match_number,team,runs,wickets,overs,result
1,1,PNG,129,9,20,lose
2,1,OMN,131,0,13.4,win
3,2,SCO,140,9,20,win
4,2,BAN,134,7,20,lose
5,3,NED,106,10,20,lose
6,3,IRE,107,3,15.1,win
7,4,NAM,96,10,19.3,lose
8,4,LKA,100,3,13.3,win
9,5,SCO,165,9,20,win
10,5,PNG,148,10,19.3,lose
11,6,BAN,153,10,20,win
12,6,OMN,127,9,20,lose
13,7,NED,164,4,20,lose
14,7,NAM,166,4,19,win
15,8,LKA,171,7,20,win
16,8,IRE,101,10,18.3,lose
17,9,BAN,181,7,20,win
18,9,PNG,97,10,19.3,lose
19,10,OMN,122,10,20,lose
20,10,SCO,123,2,17,win
21,11,IRE,125,8,20,lose
22,11,NAM,126,2,18.3,win
23,12,NED,44,10,10,lose
24,12,LKA,45,2,7.1,win
25,13,RSA,118,9,20,lose
26,13,AUS,121,5,19.4,win
27,14,WIN,55,10,14.2,lose
28,14,ENG,56,4,8.2,win
29,15,BAN,171,4,20,lose
30,15,LKA,172,5,18.5,win
31,16,IND,151,7,20,lose
32,16,PAK,152,0,17.5,win
33,17,AFG,190,4,20,win
34,17,SCO,60,10,10.2,lose
35,18,WIN,143,8,20,lose
36,18,RSA,144,2,18.2,win
37,19,NZL,134,8,20,lose
38,19,PAK,135,5,18.4,win
39,20,BAN,124,9,20,lose
40,20,ENG,126,2,14.1,win
41,21,SCO,109,8,20,lose
42,21,NAM,115,6,19.1,win
43,22,LKA,154,6,20,lose
44,22,AUS,155,3,17,win
45,23,WIN,142,7,20,win
46,23,BAN,139,5,20,lose
47,24,AFG,147,6,20,lose
48,24,PAK,148,5,19,win
49,25,LKA,142,10,20,lose
50,25,RSA,146,6,19.5,win
51,26,AUS,125,10,20,win
52,26,ENG,126,2,11.4,lose
53,27,AFG,160,5,20,win
54,27,NAM,98,9,20,lose
55,28,IND,110,7,20,lose
56,28,NZL,111,2,14.3,win
57,29,ENG,163,4,20,win
58,29,LKA,137,10,19,lose
59,30,BAN,84,10,18.2,lose
60,30,RSA,86,4,13.3,win
61,31,PAK,189,2,20,win
62,31,NAM,144,5,20,lose
63,32,NZL,172,5,20,win
64,32,SCO,156,5,20,lose
65,33,IND,210,2,20,win
66,33,AFG,144,7,20,lose
67,34,BAN,73,10,15,lose
68,34,AUS,78,2,6.2,win
69,35,LKA,189,3,20,win
70,35,WIN,169,8,20,lose
71,36,NZL,163,4,20,win
72,36,NAM,111,7,20,lose
73,37,SCO,85,10,17.4,lose
74,37,IND,89,2,6.3,win
75,38,WIN,157,7,20,lose
76,38,AUS,161,2,16.2,win
77,39,RSA,189,2,20,win
78,39,ENG,179,8,20,lose
79,40,AFG,124,8,20,lose
80,40,NZL,125,2,18.1,win
81,41,PAK,189,4,20,win
82,41,SCO,117,6,20,lose
83,42,NAM,132,8,20,lose
84,42,IND,136,1,15.2,win
85,43,ENG,166,4,20,lose
86,43,NZL,167,5,19,win
87,44,PAK,176,4,20,lose
88,44,AUS,177,5,19,win
89,45,NZL,172,4,20,lose
90,45,AUS,173,2,18.5,win
