share_id,participant_id,team_code,matches_played,total_points,total_shares,points_per_share
1,1,ENG,7,18,24,0.75
2,1,ENG,7,18,24,0.75
3,1,ENG,7,18,24,0.75
4,1,IND,5,12,21,0.5714285714285714
5,1,IND,5,12,21,0.5714285714285714
6,1,IND,5,12,21,0.5714285714285714
7,1,AUS,8,66,23,2.869565217391304
8,1,AUS,8,66,23,2.869565217391304
9,1,NED,3,0,3,0
10,2,AUS,8,66,23,2.869565217391304
11,2,AUS,8,66,23,2.869565217391304
12,2,AUS,8,66,23,2.869565217391304
13,2,IND,5,12,21,0.5714285714285714
14,2,IND,5,12,21,0.5714285714285714
15,2,ENG,7,18,24,0.75
16,2,WIN,5,4,10,0.4
17,2,WIN,5,4,10,0.4
18,2,"NAM",9,9,2,4.5
19,3,AUS,8,66,23,2.869565217391304
20,3,AUS,8,66,23,2.869565217391304
21,3,AUS,8,66,23,2.869565217391304
22,3,IND,5,12,21,0.5714285714285714
23,3,IND,5,12,21,0.5714285714285714
24,3,IND,5,12,21,0.5714285714285714
25,3,ENG,7,18,24,0.75
26,3,ENG,7,18,24,0.75
27,3,IRE,4,2,5,0.4
28,4,WIN,5,4,10,0.4
29,4,WIN,5,4,10,0.4
30,4,WIN,5,4,10,0.4
31,4,AUS,8,66,23,2.869565217391304
32,4,AUS,8,66,23,2.869565217391304
33,4,IND,5,12,21,0.5714285714285714
34,4,RSA,5,16,3,5.333333333333333
35,4,AFG,5,8,5,1.6
36,4,SCO,9,7,1,7
37,5,PAK,7,22,5,4.4
38,5,PAK,7,22,5,4.4
39,5,PAK,7,22,5,4.4
40,5,AUS,8,66,23,2.869565217391304
41,5,AUS,8,66,23,2.869565217391304
42,5,ENG,7,18,24,0.75
43,5,ENG,7,18,24,0.75
44,5,IRE,4,2,5,0.4
45,5,PNG,3,0,1,0
46,6,WIN,5,4,10,0.4
47,6,WIN,5,4,10,0.4
48,6,RSA,5,16,3,5.333333333333333
49,6,AFG,5,8,5,1.6
50,6,AFG,5,8,5,1.6
51,6,BAN,9,5,5,1
52,6,BAN,9,5,5,1
53,6,NZL,8,34,10,3.4
54,6,NZL,8,34,10,3.4
55,7,LKA,9,15,7,2.142857142857143
56,7,LKA,9,15,7,2.142857142857143
57,7,LKA,9,15,7,2.142857142857143
58,7,IND,5,12,21,0.5714285714285714
59,7,IND,5,12,21,0.5714285714285714
60,7,IND,5,12,21,0.5714285714285714
61,7,ENG,7,18,24,0.75
62,7,ENG,7,18,24,0.75
63,7,ENG,7,18,24,0.75
64,8,NZL,8,34,10,3.4
65,8,NZL,8,34,10,3.4
66,8,NZL,8,34,10,3.4
67,8,IND,5,12,21,0.5714285714285714
68,8,IND,5,12,21,0.5714285714285714
69,8,ENG,7,18,24,0.75
70,8,WIN,5,4,10,0.4
71,8,LKA,9,15,7,2.142857142857143
72,8,IRE,4,2,5,0.4
73,9,IND,5,12,21,0.5714285714285714
74,9,IND,5,12,21,0.5714285714285714
75,9,NZL,8,34,10,3.4
76,9,NZL,8,34,10,3.4
77,9,AUS,8,66,23,2.869565217391304
78,9,AUS,8,66,23,2.869565217391304
79,9,ENG,7,18,24,0.75
80,9,ENG,7,18,24,0.75
81,9,OMN,3,2,1,2
82,10,BAN,9,5,5,1
83,10,BAN,9,5,5,1
84,10,PAK,7,22,5,4.4
85,10,PAK,7,22,5,4.4
86,10,ENG,7,18,24,0.75
87,10,AUS,8,66,23,2.869565217391304
88,10,WIN,5,4,10,0.4
89,10,AFG,5,8,5,1.6
90,10,"NAM",9,9,2,4.5
91,11,IND,5,12,21,0.5714285714285714
92,11,IND,5,12,21,0.5714285714285714
93,11,AUS,8,66,23,2.869565217391304
94,11,AUS,8,66,23,2.869565217391304
95,11,NZL,8,34,10,3.4
96,11,ENG,7,18,24,0.75
97,11,WIN,5,4,10,0.4
98,11,NED,3,0,3,0
99,11,IRE,4,2,5,0.4
100,12,LKA,9,15,7,2.142857142857143
101,12,LKA,9,15,7,2.142857142857143
102,12,IND,5,12,21,0.5714285714285714
103,12,IND,5,12,21,0.5714285714285714
104,12,AUS,8,66,23,2.869565217391304
105,12,ENG,7,18,24,0.75
106,12,ENG,7,18,24,0.75
107,12,NZL,8,34,10,3.4
108,12,NZL,8,34,10,3.4
109,13,ENG,7,18,24,0.75
110,13,ENG,7,18,24,0.75
111,13,ENG,7,18,24,0.75
112,13,AUS,8,66,23,2.869565217391304
113,13,AUS,8,66,23,2.869565217391304
114,13,IND,5,12,21,0.5714285714285714
115,13,LKA,9,15,7,2.142857142857143
116,13,IRE,4,2,5,0.4
117,13,BAN,9,5,5,1
118,14,AUS,8,66,23,2.869565217391304
119,14,AUS,8,66,23,2.869565217391304
120,14,AUS,8,66,23,2.869565217391304
121,14,ENG,7,18,24,0.75
122,14,ENG,7,18,24,0.75
123,14,ENG,7,18,24,0.75
124,14,RSA,5,16,3,5.333333333333333
125,14,AFG,5,8,5,1.6
126,14,NED,3,0,3,0
