share_id,participant_id,team_code
1,1,ENG
2,1,ENG
3,1,ENG
4,1,IND
5,1,IND
6,1,IND
7,1,AUS
8,1,AUS
9,1,NED
10,1,WIN
11,2,AUS
12,2,AUS
13,2,AUS
14,2,IND
15,2,IND
16,2,ENG
17,2,WIN
18,2,WIN
19,2,NAM
20,3,AUS
21,3,AUS
22,3,AUS
23,3,IND
24,3,IND
25,3,IND
26,3,ENG
27,3,ENG
28,3,IRE
29,3,LKA
30,4,WIN
31,4,WIN
32,4,WIN
33,4,AUS
34,4,AUS
35,4,IND
36,4,RSA
37,4,AFG
38,4,SCO
39,4,PAK
40,5,PAK
41,5,PAK
42,5,PAK
43,5,AUS
44,5,AUS
45,5,ENG
46,5,ENG
47,5,IRE
48,5,PNG
49,5,NZL
50,6,WIN
51,6,WIN
52,6,RSA
53,6,AFG
54,6,AFG
55,6,BAN
56,6,BAN
57,6,NZL
58,6,NZL
59,6,ENG
60,7,LKA
61,7,LKA
62,7,LKA
63,7,IND
64,7,IND
65,7,IND
66,7,ENG
67,7,ENG
68,7,ENG
69,7,NZL
70,8,NZL
71,8,NZL
72,8,NZL
73,8,IND
74,8,IND
75,8,ENG
76,8,WIN
77,8,LKA
78,8,IRE
79,8,AUS
80,9,IND
81,9,IND
82,9,NZL
83,9,NZL
84,9,AUS
85,9,AUS
86,9,ENG
87,9,ENG
88,9,OMN
89,9,NAM
90,10,BAN
91,10,BAN
92,10,PAK
93,10,PAK
94,10,ENG
95,10,AUS
96,10,AUS
97,10,WIN
98,10,AFG
99,10,NAM
100,11,IND
101,11,IND
102,11,AUS
103,11,AUS
104,11,NZL
105,11,ENG
106,11,WIN
107,11,NED
108,11,IRE
109,11,OMN
110,12,LKA
111,12,LKA
112,12,IND
113,12,IND
114,12,AUS
115,12,ENG
116,12,ENG
117,12,NZL
118,12,NZL
119,12,AFG
120,13,ENG
121,13,ENG
122,13,ENG
123,13,AUS
124,13,AUS
125,13,IND
126,13,LKA
127,13,IRE
128,13,BAN
129,13,RSA
130,14,AUS
131,14,AUS
132,14,AUS
133,14,ENG
134,14,ENG
135,14,ENG
136,14,RSA
137,14,AFG
138,14,NED
139,14,NZL
140,15,AUS
141,15,AUS
142,15,AUS
143,15,ENG
144,15,ENG
145,15,ENG
146,15,NZL
147,15,NZL
148,15,IND
149,15,IND
150,16,PAK
151,16,PAK
152,16,PAK
153,16,PAK
154,16,ENG
155,16,ENG
156,16,AUS
157,16,NZL
158,16,LKA
159,16,IRE
